Table with row headers in column A and column headers in row 4.,,,,,,,,,,,,,,
"Table 4c.  Reported Voting and Registration of the Total Voting-Age Population, by Age, for States: November 2014",,,,,,,,,,,,,,
(in thousands),,,,,,,,,,,,,,
STATE,Age,Total Population,Total Citizen Population,Total registered,"Percent registered
(Total)",Margin of Error1,"Percent registered
(Citizen)",Margin of Error,Total voted,"Percent voted
(Total)",Margin of Error,"Percent voted
(Citizen)",Margin of Error,
,35 to 44,"1,271","1,193",863,67.9,3.9,72.3,3.9,546,43.0,4.2,45.8,4.3,
,45 to 64,"2,660","2,553","1,888",71.0,2.6,74.0,2.6,"1,312",49.3,2.9,51.4,3.0,
,65+,"1,602","1,562","1,285",80.2,3.0,82.3,2.9,"1,051",65.6,3.6,67.3,3.6,
MINNESOTA,Total,"4,104","3,933","2,822",68.8,2.2,71.8,2.2,"2,047",49.9,2.4,52.0,2.4,
,18 to 24,537,520,206,38.4,6.3,39.6,6.5,112,20.9,5.3,21.6,5.5,
,25 to 34,710,660,416,58.6,5.6,63.1,5.7,252,35.4,5.4,38.1,5.7,
,35 to 44,628,598,465,74.0,5.3,77.7,5.1,292,46.5,6.0,48.9,6.2,
,45 to 64,"1,409","1,343","1,080",76.7,3.4,80.5,3.3,802,56.9,4.0,59.7,4.0,
,65+,819,812,654,79.9,4.2,80.6,4.2,588,71.8,4.8,72.5,4.7,
MISSISSIPPI,Total,"2,182","2,142","1,628",74.6,2.2,76.0,2.2,907,41.6,2.5,42.3,2.5,
,18 to 24,327,322,218,66.6,6.2,67.8,6.2,85,26.1,5.7,26.5,5.8,
,25 to 34,371,360,234,63.1,5.9,64.9,5.9,88,23.8,5.2,24.5,5.4,
,35 to 44,311,302,210,67.7,6.3,69.7,6.3,111,35.8,6.4,36.8,6.6,
,45 to 64,739,730,591,80.0,3.5,81.0,3.4,374,50.6,4.3,51.2,4.4,
,65+,434,429,375,86.4,3.9,87.5,3.8,248,57.2,5.6,57.9,5.6,
MISSOURI,Total,"4,505","4,429","3,194",70.9,2.1,72.1,2.1,"1,713",38.0,2.2,38.7,2.2,
,18 to 24,442,438,217,49.0,7.3,49.4,7.3,64,14.5,5.1,14.6,5.1,
,25 to 34,749,727,477,63.7,5.4,65.6,5.4,201,26.8,4.9,27.6,5.1,
,35 to 44,805,776,586,72.8,4.8,75.5,4.7,305,37.8,5.2,39.2,5.3,
,45 to 64,"1,592","1,580","1,192",74.8,3.3,75.4,3.3,684,42.9,3.8,43.3,3.8,
,65+,916,907,723,78.9,4.1,79.7,4.1,460,50.2,5.0,50.7,5.1,
MONTANA,Total,788,782,506,64.3,2.2,64.8,2.2,391,49.7,2.3,50.1,2.4,
,18 to 24,101,99,43,42.8,6.5,43.7,6.6,21,20.7,5.3,21.1,5.4,
,25 to 34,136,133,73,53.7,5.6,54.8,5.7,42,31.0,5.2,31.6,5.3,
,35 to 44,104,104,73,70.2,5.9,70.2,5.9,55,52.8,6.5,52.8,6.5,
,45 to 64,278,277,190,68.2,3.7,68.5,3.7,159,57.0,3.9,57.2,3.9,
,65+,169,169,128,75.6,4.4,75.6,4.4,115,68.2,4.7,68.2,4.7,
NEBRASKA,Total,"1,400","1,306",873,62.4,2.6,66.9,2.6,579,41.4,2.6,44.3,2.8,
,18 to 24,180,166,76,42.3,7.4,45.8,7.7,26,14.4,5.2,15.5,5.6,
,25 to 34,265,237,124,46.7,6.1,52.3,6.5,68,25.7,5.4,28.8,5.9,
