"Table with row headers in column A, and column headers in rows 4 through 5.",,,,,,,,,,,,,,
"Table 4c.  Reported Voting and Registration, by Age, for States:  November 2018",,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
STATE,Age,Total population,Total citizen population,Registered,,,,,Voted,,,,,
,,,,Total registered,"Percent registered
(Total)",Margin of error 1,"Percent registered
(Citizen)",Margin of error 1,Total voted,"Percent voted
(Total)",Margin of error 1,"Percent voted
(Citizen)",Margin of error 1,
,45 to 64,"1,079","1,048",836,77.5,4.2,79.8,4.1,662,61.3,4.9,63.1,4.9,
,65+,798,798,649,81.4,4.6,81.4,4.6,507,63.5,5.6,63.5,5.6,
LOUISIANA,Total,"3,458","3,326","2,263",65.4,2.6,68.0,2.6,"1,656",47.9,2.7,49.8,2.7,
,18 to 24,409,390,202,49.3,7.8,51.7,8.0,98,24.0,6.7,25.2,7.0,
,25 to 34,587,549,335,57.2,6.5,61.1,6.6,217,37.0,6.3,39.5,6.6,
,35 to 44,607,573,376,61.9,6.2,65.5,6.3,257,42.2,6.3,44.8,6.6,
,45 to 64,"1,144","1,112",791,69.1,4.3,71.1,4.3,633,55.3,4.7,56.9,4.7,
,65+,711,702,560,78.7,4.9,79.7,4.8,452,63.5,5.7,64.3,5.7,
MAINE,Total,"1,074","1,056",828,77.1,2.6,78.4,2.5,693,64.5,2.9,65.6,2.9,
,18 to 24,89,89,46,51.5,10.6,51.5,10.6,26,29.2,9.6,29.2,9.6,
,25 to 34,174,171,108,61.9,7.3,63.2,7.4,88,50.3,7.5,51.3,7.6,
,35 to 44,149,148,122,81.5,6.3,82.1,6.3,93,62.4,7.9,62.9,7.9,
,45 to 64,385,378,317,82.5,3.9,83.9,3.8,273,70.9,4.6,72.1,4.6,
,65+,276,270,235,85.3,4.3,87.1,4.1,213,77.3,5.0,78.9,4.9,
MARYLAND,Total,"4,666","4,281","3,095",66.3,2.3,72.3,2.3,"2,320",49.7,2.5,54.2,2.6,
,18 to 24,653,584,354,54.2,6.5,60.6,6.8,220,33.7,6.2,37.7,6.7,
,25 to 34,780,690,477,61.2,5.9,69.2,5.9,302,38.7,5.9,43.8,6.3,
,35 to 44,689,616,444,64.5,6.1,72.1,6.1,340,49.3,6.4,55.2,6.7,
,45 to 64,"1,604","1,486","1,101",68.6,3.9,74.1,3.8,902,56.2,4.2,60.7,4.3,
,65+,939,906,719,76.6,4.6,79.4,4.5,556,59.2,5.4,61.4,5.4,
MASSACHUSETTS,Total,"5,460","4,919","3,345",61.3,2.2,68.0,2.2,"2,731",50.0,2.2,55.5,2.3,
,18 to 24,644,556,240,37.3,6.2,43.2,6.9,188,29.3,5.9,33.9,6.6,
,25 to 34,"1,038",905,549,52.8,5.1,60.6,5.3,417,40.2,5.0,46.1,5.4,
,35 to 44,813,666,429,52.8,5.7,64.4,6.1,324,39.8,5.6,48.6,6.3,
,45 to 64,"1,870","1,729","1,326",70.9,3.4,76.7,3.3,"1,121",59.9,3.7,64.9,3.8,
,65+,"1,095","1,063",801,73.2,4.4,75.4,4.3,681,62.2,4.8,64.1,4.8,
MICHIGAN,Total,"7,657","7,430","5,453",71.2,1.7,73.4,1.7,"4,418",57.7,1.9,59.5,1.9,
,18 to 24,841,825,455,54.1,5.7,55.1,5.7,279,33.2,5.4,33.9,5.4,
,25 to 34,"1,300","1,249",823,63.3,4.4,65.9,4.4,589,45.3,4.6,47.2,4.7,
,35 to 44,"1,152","1,077",793,68.8,4.5,73.6,4.4,625,54.3,4.8,58.1,5.0,
,45 to 64,"2,733","2,673","2,071",75.8,2.7,77.5,2.7,"1,733",63.4,3.0,64.8,3.0,
,65+,"1,631","1,605","1,311",80.4,3.2,81.7,3.2,"1,190",73.0,3.6,74.1,3.6,
MINNESOTA,Total,"4,238","4,006","3,000",70.8,2.3,74.9,2.3,"2,523",59.5,2.5,63.0,2.5,
,18 to 24,440,410,210,47.8,7.9,51.2,8.2,175,39.9,7.7,42.7,8.1,
,25 to 34,795,696,434,54.7,5.9,62.4,6.1,330,41.5,5.8,47.4,6.3,
,35 to 44,692,653,502,72.5,5.6,76.9,5.5,419,60.6,6.2,64.2,6.2,
,45 to 64,"1,519","1,461","1,155",76.0,3.6,79.0,3.5,981,64.6,4.1,67.1,4.1,
,65+,793,785,699,88.1,3.8,89.0,3.7,618,77.9,4.9,78.7,4.8,
MISSISSIPPI,Total,"2,194","2,178","1,599",72.9,2.5,73.4,2.5,"1,180",53.8,2.8,54.2,2.8,
,18 to 24,269,269,123,45.7,7.9,45.7,7.9,72,26.7,7.0,26.7,7.0,
,25 to 34,365,354,253,69.5,6.3,71.5,6.2,133,36.5,6.5,37.6,6.7,
,35 to 44,353,353,267,75.7,5.9,75.7,5.9,187,53.1,6.9,53.1,6.9,
,45 to 64,727,722,571,78.5,3.9,79.1,3.9,472,64.9,4.6,65.4,4.6,
,65+,481,481,385,80.1,4.7,80.1,4.7,316,65.8,5.6,65.8,5.6,
MISSOURI,Total,"4,676","4,564","3,299",70.6,2.2,72.3,2.2,"2,509",53.7,2.4,55.0,2.5,
,18 to 24,522,488,307,58.8,7.2,62.9,7.3,202,38.7,7.1,41.4,7.5,
,25 to 34,805,774,544,67.6,5.5,70.2,5.5,373,46.3,5.9,48.1,6.0,
,35 to 44,780,759,517,66.3,5.7,68.2,5.6,386,49.5,6.0,50.9,6.1,
,45 to 64,"1,462","1,450","1,064",72.8,3.9,73.4,3.9,832,56.9,4.3,57.4,4.3,
,65+,"1,107","1,093",867,78.3,4.1,79.3,4.1,716,64.7,4.8,65.6,4.8,
MONTANA,Total,822,812,579,70.4,2.3,71.3,2.3,518,63.0,2.4,63.8,2.4,
,18 to 24,83,81,41,49.7,7.9,50.5,8.0,32,38.3,7.7,38.9,7.8,
,25 to 34,147,144,89,60.9,5.8,62.3,5.8,71,48.0,5.9,49.2,6.0,
,35 to 44,127,124,90,70.6,5.8,72.4,5.8,76,59.8,6.3,61.3,6.3,
,45 to 64,254,253,192,75.5,3.9,75.8,3.9,178,70.1,4.1,70.3,4.1,
,65+,212,210,167,78.8,4.0,79.4,4.0,162,76.6,4.2,77.1,4.2,
NEBRASKA,Total,"1,428","1,332",883,61.9,2.8,66.3,2.8,676,47.3,2.9,50.8,3.0,
,18 to 24,172,157,69,40.1,8.2,43.9,8.7,50,29.2,7.6,32.0,8.2,
,25 to 34,286,268,165,57.6,6.4,61.4,6.5,112,39.1,6.3,41.7,6.6,
,35 to 44,215,181,113,52.6,7.5,62.5,7.9,81,37.9,7.3,45.0,8.1,
,45 to 64,467,439,311,66.5,4.8,70.7,4.8,244,52.2,5.1,55.5,5.2,
,65+,288,286,226,78.5,5.3,79.0,5.3,189,65.5,6.2,66.0,6.2,
NEVADA,Total,"2,324","2,067","1,277",55.0,2.7,61.8,2.8,"1,006",43.3,2.7,48.7,2.9,
,18 to 24,260,238,119,45.7,8.1,49.9,8.5,77,29.7,7.4,32.4,7.9,
,25 to 34,433,373,192,44.3,6.2,51.5,6.8,115,26.6,5.5,30.9,6.2,
,35 to 44,373,323,191,51.3,6.8,59.3,7.1,141,37.8,6.6,43.7,7.2,
,45 to 64,791,687,452,57.2,4.6,65.8,4.7,372,47.0,4.6,54.2,5.0,
,65+,467,447,323,69.1,5.6,72.3,5.5,301,64.5,5.8,67.4,5.8,
NEW HAMPSHIRE,Total,"1,080","1,025",726,67.2,2.6,70.8,2.6,576,53.3,2.8,56.2,2.8,
,18 to 24,114,106,61,53.4,8.5,57.6,8.7,39,34.4,8.1,37.1,8.6,
,25 to 34,153,138,84,55.3,7.3,61.1,7.5,61,39.9,7.2,44.0,7.7,
,35 to 44,175,165,108,61.7,6.7,65.2,6.7,80,45.8,6.9,48.4,7.1,
,45 to 64,404,387,298,73.7,4.0,76.8,3.9,241,59.6,4.4,62.1,4.5,
,65+,234,228,175,74.9,5.2,76.8,5.1,155,66.3,5.6,68.0,5.6,
