"","state","age","total_cit","total_register","percent_register","percent_register_cit","total_vote","percent_vote","percent_vote_cit","year"
"222","OHIO","45 to 64",3043,2238,71.6,73.6,1750,56,57.5,"2018"
"223","OHIO","65+",1869,1482,79,79.3,1254,66.9,67.1,"2018"
"224","OKLAHOMA","Total",2732,1777,62,65.1,1350,47.1,49.4,"2018"
"225","OKLAHOMA","18 to 24",287,110,35.6,38.2,65,21.1,22.6,"2018"
"226","OKLAHOMA","25 to 34",471,275,54.2,58.3,191,37.6,40.5,"2018"
"227","OKLAHOMA","35 to 44",469,305,59.8,64.9,202,39.7,43.1,"2018"
"228","OKLAHOMA","45 to 64",876,600,65.8,68.5,486,53.2,55.4,"2018"
"229","OKLAHOMA","65+",628,487,77.2,77.6,406,64.4,64.7,"2018"
"230","OREGON","Total",3138,2274,69.1,72.5,1918,58.2,61.1,"2018"
"231","OREGON","18 to 24",331,205,61.1,62,128,38.2,38.8,"2018"
"232","OREGON","25 to 34",585,403,64.4,68.9,334,53.3,57.1,"2018"
"233","OREGON","35 to 44",493,336,62.4,68.1,259,48.1,52.5,"2018"
"234","OREGON","45 to 64",929,708,72.6,76.2,633,64.9,68.1,"2018"
"235","OREGON","65+",799,622,76.2,77.8,564,69.1,70.6,"2018"
"236","PENNSYLVANIA","Total",9475,6469,65.2,68.3,5173,52.1,54.6,"2018"
"237","PENNSYLVANIA","18 to 24",1109,546,47.7,49.2,365,31.9,33,"2018"
"238","PENNSYLVANIA","25 to 34",1457,883,54.4,60.6,603,37.2,41.4,"2018"
"239","PENNSYLVANIA","35 to 44",1326,903,61.6,68.1,705,48.1,53.2,"2018"
"240","PENNSYLVANIA","45 to 64",3292,2437,72.1,74,2034,60.2,61.8,"2018"
"241","PENNSYLVANIA","65+",2291,1702,73.5,74.3,1465,63.2,63.9,"2018"
"242","RHODE ISLAND","Total",782,532,64.2,68,403,48.7,51.6,"2018"
"243","RHODE ISLAND","18 to 24",82,50,55.5,61.5,34,37.8,41.8,"2018"
"244","RHODE ISLAND","25 to 34",136,72,49.6,52.9,45,31,33.1,"2018"
"245","RHODE ISLAND","35 to 44",122,79,60.8,64.5,57,44.2,46.9,"2018"
"246","RHODE ISLAND","45 to 64",287,210,69.2,73.2,172,56.4,59.7,"2018"
"247","RHODE ISLAND","65+",155,121,75.7,78,95,59.8,61.6,"2018"
"248","SOUTH CAROLINA","Total",3769,2430,62.1,64.5,1836,46.9,48.7,"2018"
"249","SOUTH CAROLINA","18 to 24",378,176,44.9,46.4,91,23.3,24.1,"2018"
"250","SOUTH CAROLINA","25 to 34",720,407,54.1,56.6,228,30.3,31.7,"2018"
"251","SOUTH CAROLINA","35 to 44",500,323,58.1,64.6,265,47.7,53.1,"2018"
"252","SOUTH CAROLINA","45 to 64",1215,802,64.2,66.1,638,51.1,52.5,"2018"
"253","SOUTH CAROLINA","65+",956,721,74.8,75.5,613,63.6,64.2,"2018"
"254","SOUTH DAKOTA","Total",637,429,66.2,67.3,331,51,51.9,"2018"
"255","SOUTH DAKOTA","18 to 24",90,42,46.2,47.1,24,25.8,26.3,"2018"
"256","SOUTH DAKOTA","25 to 34",105,57,52.5,54.2,33,30.3,31.3,"2018"
"257","SOUTH DAKOTA","35 to 44",93,61,64.4,65.8,40,42.5,43.4,"2018"
"258","SOUTH DAKOTA","45 to 64",202,155,76.1,76.8,136,66.7,67.3,"2018"
"259","SOUTH DAKOTA","65+",148,114,75.9,77,98,65.5,66.4,"2018"
"260","TENNESSEE","Total",5016,3183,61.2,63.5,2487,47.8,49.6,"2018"
"261","TENNESSEE","18 to 24",593,265,44.1,44.7,184,30.7,31.1,"2018"
"262","TENNESSEE","25 to 34",833,466,50.8,55.9,338,36.8,40.5,"2018"
"263","TENNESSEE","35 to 44",784,533,64.1,68.1,388,46.6,49.5,"2018"
"264","TENNESSEE","45 to 64",1695,1143,65.8,67.4,916,52.7,54,"2018"
"265","TENNESSEE","65+",1111,776,69.6,69.8,661,59.4,59.5,"2018"
"266","TEXAS","Total",18374,11634,55.2,63.3,8886,42.2,48.4,"2018"
"267","TEXAS","18 to 24",2664,1217,42.3,45.7,718,25,27,"2018"
"268","TEXAS","25 to 34",3527,1835,43.8,52,1297,31,36.8,"2018"
"269","TEXAS","35 to 44",3053,1895,51.3,62.1,1388,37.6,45.5,"2018"
